episode,timestep,reward
335,1008,-2249.717
337,1014,-1666.0885
339,1020,-1496.4455
341,1026,-1576.5245
343,1032,-926.397
345,1038,-1719.8495
347,1044,-1524.5455
349,1050,-1519.4075
351,1056,-2433.332
353,1062,-1934.302
355,1068,-1766.3435
357,1074,-1082.764
359,1080,-2217.259
361,1086,-1527.4075
363,1092,-1490.6405
365,1098,-1118.768
367,1104,-1764.4545
369,1110,-1230.6935
371,1116,-1491.603
373,1122,-1653.966
375,1128,-2006.9855
377,1134,-3550.7215
379,1140,-1771.493
381,1146,-2022.2105
383,1152,-842.4895
385,1158,-1969.5095
387,1164,-947.2855
389,1170,-1395.374
391,1176,-1585.4045
393,1182,-1179.08
395,1188,-1530.107
397,1194,-2129.8555
399,1200,-1546.972
401,1206,-1316.2045
403,1212,-1301.5285
405,1218,-1440.5825
407,1224,-1444.8305
409,1230,-840.0085
411,1236,-1554.3905
413,1242,-2298.9925
415,1248,-979.001
417,1254,-1086.856
419,1260,-1278.442
421,1266,-873.1945
423,1272,-1008.9875
425,1278,-2568.1405
427,1284,-1611.5535
429,1290,-1948.7725
431,1296,-1833.9245
433,1302,-1771.476
435,1308,-1927.3105
437,1314,-1488.6925
439,1320,-1747.6845
441,1326,-1739.205
443,1332,-1926.695
445,1338,-1182.22
447,1344,-1376.0985
449,1350,-2042.6525
451,1356,-915.4655
453,1362,-1439.6775
455,1368,-1448.793
457,1374,-1712.3015
459,1380,-1384.2675
461,1386,-1143.152
463,1392,-921.3
465,1398,-1205.0515
467,1404,-1612.4665
469,1410,-1895.5715
471,1416,-2140.335
473,1422,-1086.5785
475,1428,-1400.0555
477,1434,-1259.253
479,1440,-1009.237
481,1446,-1867.0065
483,1452,-1902.894
485,1458,-1500.502
487,1464,-1425.0675
489,1470,-1402.3635
491,1476,-869.839
493,1482,-1596.8545
495,1488,-1471.684
497,1494,-1831.7905
499,1500,-1511.6575
501,1506,-1590.848
503,1512,-760.64
505,1518,-1404.298
507,1524,-2333.264
509,1530,-975.415
511,1536,-1681.0545
513,1542,-1607.1915
515,1548,-1016.858
517,1554,-1202.7945
519,1560,-1184.24
521,1566,-901.6915
523,1572,-1085.6525
525,1578,-1265.9665
527,1584,-2146.6645
529,1590,-841.6405
531,1596,-2438.2295
533,1602,-1347.6565
535,1608,-1027.064
537,1614,-1481.4155
539,1620,-1846.503
541,1626,-1614.283
543,1632,-1486.7565
545,1638,-1528.3635
547,1644,-1601.6445
549,1650,-1471.569
551,1656,-1517.8655
553,1662,-2157.481
555,1668,-780.1825
557,1674,-1348.893
559,1680,-795.0505
561,1686,-1749.796
563,1692,-1293.059
565,1698,-2280.911
567,1704,-2475.9175
569,1710,-555.712
571,1716,-1924.5485
573,1722,-862.9765
575,1728,-2137.588
577,1734,-1420.3215
579,1740,-1346.686
581,1746,-1227.567
583,1752,-1656.6255
585,1758,-1585.0875
587,1764,-1578.627
589,1770,-1119.231
591,1776,-1321.0695
593,1782,-1800.2115
595,1788,-1425.557
597,1794,-1221.3595
599,1800,-1611.7025
601,1806,-1118.7785
603,1812,-1520.923
605,1818,-2047.0515
607,1824,-2091.263
609,1830,-917.2025
611,1836,-1310.8205
613,1842,-1308.047
615,1848,-1533.084
617,1854,-800.194
619,1860,-1016.253
621,1866,-1254.9685
623,1872,-1608.4605
625,1878,-1289.28
627,1884,-1652.4275
629,1890,-1368.278
631,1896,-1673.99
633,1902,-981.0335
635,1908,-1996.4495
637,1914,-1505.3075
639,1920,-550.724
641,1926,-1406.258
643,1932,-2620.4675
645,1938,-3360.365
647,1944,-1054.969
649,1950,-2118.457
651,1956,-2138.579
653,1962,-2115.9205
655,1968,-1241.366
657,1974,-1661.1185
659,1980,-2330.4575
661,1986,-2087.593
663,1992,-989.5425
665,1998,-2715.7385
667,2004,-1586.694
669,2010,-881.3885
671,2016,-2024.2905
673,2022,-1192.4
675,2028,-1919.1445
677,2034,-1377.7465
679,2040,-833.5535
681,2046,-1267.9955
683,2052,-909.351
685,2058,-1089.051
687,2064,-841.484
689,2070,-1991.9265
691,2076,-1464.7285
693,2082,-882.5675
695,2088,-1333.3195
697,2094,-1301.7365
699,2100,-1699.9485
701,2106,-1427.8305
703,2112,-2094.565
705,2118,-984.168
707,2124,-1011.678
709,2130,-1495.3325
711,2136,-1734.8695
713,2142,-1888.8325
715,2148,-1568.433
717,2154,-1235.6835
719,2160,-1061.7095
721,2166,-1605.0845
723,2172,-1710.822
725,2178,-1273.897
727,2184,-1224.0405
729,2190,-834.2295
731,2196,-1015.776
733,2202,-1087.2555
735,2208,-734.7075
737,2214,-1899.98
739,2220,-1949.038
741,2226,-1337.0255
743,2232,-1690.321
745,2238,-1303.9175
747,2244,-1544.701
749,2250,-1375.0085
751,2256,-2685.9245
753,2262,-1296.528
755,2268,-1789.996
757,2274,-959.7055
759,2280,-1751.492
761,2286,-2130.3415
763,2292,-2065.179
765,2298,-2150.7345
767,2304,-1079.7195
769,2310,-1440.5055
771,2316,-1991.515
773,2322,-649.5695
775,2328,-1342.1325
777,2334,-1696.2115
779,2340,-1757.9325
781,2346,-1403.618
783,2352,-1489.785
785,2358,-1588.1185
787,2364,-1566.937
789,2370,-1290.579
791,2376,-2684.7935
793,2382,-1817.6775
795,2388,-1779.528
797,2394,-1526.496
799,2400,-955.023
801,2406,-1356.128
803,2412,-1315.554
805,2418,-1582.969
807,2424,-1294.7245
809,2430,-1403.2855
811,2436,-2151.2915
813,2442,-1177.381
815,2448,-2150.548
817,2454,-2177.9275
819,2460,-2307.9425
821,2466,-2490.3135
823,2472,-2374.281
825,2478,-2624.7025
827,2484,-1406.967
829,2490,-1081.3895
831,2496,-1654.1595
833,2502,-2328.709
835,2508,-3339.185
837,2514,-1824.3175
839,2520,-855.2185
841,2526,-1376.809
843,2532,-1814.069
845,2538,-1902.6465
847,2544,-1906.297
849,2550,-2087.7875
851,2556,-1645.0605
853,2562,-1844.142
855,2568,-1690.829
857,2574,-2233.377
859,2580,-2034.755
861,2586,-2439.606
863,2592,-1247.24
865,2598,-1536.365
