episode,timestep,reward
1,6,-1079.584
3,12,-1650.808
5,18,-2076.557
7,24,-2380.7655
9,30,-2155.7485
11,36,-1197.2145
13,42,-1170.718
15,48,-1257.4495
17,54,-1197.5765
19,60,-1065.012
21,66,-1571.2335
23,72,-1626.7205
25,78,-1288.065
27,84,-1184.62
29,90,-2059.218
31,96,-1420.9465
33,102,-2094.371
35,108,-1035.2785
37,114,-1321.978
39,120,-1729.6885
41,126,-2059.8005
43,132,-1263.886
45,138,-2007.7305
47,144,-1448.4505
49,150,-1522.475
51,156,-1426.2595
53,162,-1621.3795
55,168,-1221.835
57,174,-1587.9295
59,180,-2453.489
61,186,-1555.3095
63,192,-1573.987
65,198,-925.7785
67,204,-942.8545
69,210,-1421.2445
71,216,-758.9855
73,222,-1098.607
75,228,-2034.743
77,234,-889.474
79,240,-1191.876
81,246,-1922.168
83,252,-1484.1805
85,258,-1216.7995
87,264,-605.227
89,270,-722.086
91,276,-1543.9325
93,282,-1854.5595
95,288,-1042.1215
97,294,-1234.5575
99,300,-612.0275
101,306,-706.3075
103,312,-1558.591
105,318,-1173.883
107,324,-941.854
109,330,-1784.8855
111,336,-1598.4265
113,342,-1748.22
115,348,-1024.52
117,354,-1819.336
119,360,-1763.3755
121,366,-1750.994
123,372,-494.107
125,378,-1363.81
127,384,-1189.381
129,390,-1377.432
131,396,-2049.1635
133,402,-828.8715
135,408,-1045.451
137,414,-589.445
139,420,-2120.1835
141,426,-2212.318
143,432,-1440.8305
145,438,-1011.931
147,444,-1348.429
149,450,-1038.1995
151,456,-2074.718
153,462,-1555.7905
155,468,-1352.6715
157,474,-1041.815
159,480,-1669.0695
161,486,-1930.62
163,492,-1694.9395
165,498,-1668.9445
167,504,-2314.6665
169,510,-1386.543
171,516,-1928.173
173,522,-1387.0845
175,528,-1782.376
177,534,-954.6605
179,540,-1663.2275
181,546,-2279.164
183,552,-1264.6305
185,558,-1858.087
187,564,-2112.471
189,570,-2038.7765
191,576,-1529.9275
193,582,-1802.0095
195,588,-1438.922
197,594,-688.467
199,600,-2110.583
201,606,-1721.5975
203,612,-1562.904
205,618,-1985.351
207,624,-2971.0915
209,630,-2719.859
211,636,-1994.752
213,642,-1058.517
215,648,-996.0465
217,654,-1175.491
219,660,-1035.8965
221,666,-1678.8275
223,672,-1119.2615
225,678,-1710.3025
227,684,-1282.1735
229,690,-1724.771
231,696,-1050.9255
233,702,-1669.3995
235,708,-680.342
237,714,-1239.0675
239,720,-1193.605
241,726,-2158.0895
243,732,-1567.4075
245,738,-1575.0365
247,744,-1794.5905
249,750,-1265.937
251,756,-2354.239
253,762,-1412.315
255,768,-1419.1915
257,774,-982.338
259,780,-1283.771
261,786,-2073.868
263,792,-1572.0375
265,798,-2727.0195
267,804,-1926.6755
269,810,-1111.4995
271,816,-2266.2025
273,822,-1647.1905
275,828,-2244.9085
277,834,-1139.315
279,840,-1052.2775
281,846,-1521.4615
283,852,-1798.7525
285,858,-1517.359
287,864,-1956.899
289,870,-1100.329
291,876,-1710.8685
293,882,-1028.426
295,888,-2410.407
297,894,-2039.2435
299,900,-1222.208
301,906,-1248.5285
303,912,-1364.567
305,918,-1218.9905
307,924,-1941.5775
309,930,-1501.1265
311,936,-1449.324
313,942,-2744.0605
315,948,-1329.3075
317,954,-2098.6965
319,960,-1028.9875
321,966,-1773.126
323,972,-2607.3075
325,978,-871.16
327,984,-1663.23
329,990,-2274.1095
331,996,-1916.483
333,1002,-1774.2785
