episode,timestep,reward
1,6,-1667.0913
3,12,-1695.586
5,18,-1513.3608
7,24,-1510.637
9,30,-1395.0112
11,36,-1527.3259
13,42,-1484.4462
15,48,-1490.4081
17,54,-1661.1087
19,60,-1636.589
21,66,-1572.0073
23,72,-1594.74
25,78,-1581.1555
27,84,-1579.9841
29,90,-1528.1948
31,96,-1484.9735
33,102,-1675.1257
35,108,-1568.0116
37,114,-1594.0514
39,120,-1474.7868
41,126,-1410.6114
43,132,-1581.8881
45,138,-1598.6045
47,144,-1602.2557
49,150,-1480.9972
51,156,-1612.2777
53,162,-1563.3492
55,168,-1603.0119
57,174,-1677.134
59,180,-1659.4971
61,186,-1667.1791
63,192,-1643.8462
65,198,-1477.9604
67,204,-1563.7553
69,210,-1486.0588
71,216,-1646.7303
73,222,-1444.3369
75,228,-1620.994
77,234,-1584.8026
79,240,-1599.3583
81,246,-1468.3133
83,252,-1804.1
85,258,-1594.3088
87,264,-1537.9672
89,270,-1508.5091
91,276,-1612.6476
93,282,-1596.9999
95,288,-1560.6898
97,294,-1538.5227
99,300,-1718.5761
101,306,-1732.2855
103,312,-1543.0104
105,318,-1618.0402
107,324,-1602.9368
109,330,-1444.0616
111,336,-1533.707
113,342,-1493.6017
